raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
337,2010,1,3,Bahrain Grand Prix,14/03/2010,12:00:00,http://en.wikipedia.org/wiki/2010_Bahrain_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
338,2010,2,1,Australian Grand Prix,28/03/2010,06:00:00,http://en.wikipedia.org/wiki/2010_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
339,2010,3,2,Malaysian Grand Prix,04/04/2010,08:00:00,http://en.wikipedia.org/wiki/2010_Malaysian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
340,2010,4,17,Chinese Grand Prix,18/04/2010,06:00:00,http://en.wikipedia.org/wiki/2010_Chinese_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
341,2010,5,4,Spanish Grand Prix,09/05/2010,12:00:00,http://en.wikipedia.org/wiki/2010_Spanish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
342,2010,6,6,Monaco Grand Prix,16/05/2010,12:00:00,http://en.wikipedia.org/wiki/2010_Monaco_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
343,2010,7,5,Turkish Grand Prix,30/05/2010,11:00:00,http://en.wikipedia.org/wiki/2010_Turkish_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
344,2010,8,7,Canadian Grand Prix,13/06/2010,16:00:00,http://en.wikipedia.org/wiki/2010_Canadian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
345,2010,9,12,European Grand Prix,27/06/2010,12:00:00,http://en.wikipedia.org/wiki/2010_European_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
346,2010,10,9,British Grand Prix,11/07/2010,12:00:00,http://en.wikipedia.org/wiki/2010_British_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
347,2010,11,10,German Grand Prix,25/07/2010,12:00:00,http://en.wikipedia.org/wiki/2010_German_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
