"merc.gpnum","merc.resultid","merc.raceid","merc.points","merc.percpoints","merc.percTOTALpoints","merc.year","merc.round","merc.seasonandround","newpointsys"
1,13903,337,18,41.8604651162791,17.8217821782178,2010,1,2010,FALSE
2,13915,338,11,25.5813953488372,10.8910891089109,2010,2,2010.05263157895,FALSE
3,13925,339,15,34.8837209302326,14.8514851485149,2010,3,2010.10526315789,FALSE
4,13937,340,16,37.2093023255814,15.8415841584158,2010,4,2010.15789473684,FALSE
5,13950,341,12,27.906976744186,11.8811881188119,2010,5,2010.21052631579,FALSE
6,13964,342,6,13.953488372093,5.94059405940594,2010,6,2010.26315789474,FALSE
7,13974,343,22,51.1627906976744,21.7821782178218,2010,7,2010.31578947368,FALSE
8,13987,344,8,18.6046511627907,7.92079207920792,2010,8,2010.36842105263,FALSE
9,14004,345,1,2.32558139534884,0.99009900990099,2010,9,2010.42105263158,FALSE
10,14010,346,17,39.5348837209302,16.8316831683168,2010,10,2010.47368421053,FALSE
11,14024,347,6,13.953488372093,5.94059405940594,2010,11,2010.52631578947,FALSE
12,14038,348,0,0,0,2010,12,2010.57894736842,FALSE
13,14049,349,14,32.5581395348837,13.8613861386139,2010,13,2010.63157894737,FALSE
14,14059,350,12,27.906976744186,11.8811881188119,2010,14,2010.68421052632,FALSE
15,14071,351,10,23.2558139534884,9.9009900990099,2010,15,2010.73684210526,FALSE
16,14083,352,8,18.6046511627907,7.92079207920792,2010,16,2010.78947368421,FALSE
17,14094,353,12,27.906976744186,11.8811881188119,2010,17,2010.84210526316,FALSE
18,14107,354,14,32.5581395348837,13.8613861386139,2010,18,2010.89473684211,FALSE
19,14118,355,12,27.906976744186,11.8811881188119,2010,19,2010.94736842105,FALSE
20,14139,841,0,0,0,2011,1,2011,FALSE
21,14145,842,2,4.65116279069767,1.98019801980198,2011,2,2011.05263157895,FALSE
22,14154,843,14,32.5581395348837,13.8613861386139,2011,3,2011.10526315789,FALSE
23,14167,844,10,23.2558139534884,9.9009900990099,2011,4,2011.15789473684,FALSE
24,14179,845,14,32.5581395348837,13.8613861386139,2011,5,2011.21052631579,FALSE
25,14196,846,0,0,0,2011,6,2011.26315789474,FALSE
26,14202,847,12,27.906976744186,11.8811881188119,2011,7,2011.31578947368,FALSE
27,14215,848,6,13.953488372093,5.94059405940594,2011,8,2011.36842105263,FALSE
28,14227,849,10,23.2558139534884,9.9009900990099,2011,9,2011.42105263158,FALSE
29,14240,850,10,23.2558139534884,9.9009900990099,2011,10,2011.47368421053,FALSE
30,14253,851,2,4.65116279069767,1.98019801980198,2011,11,2011.52631578947,FALSE
31,14263,852,18,41.8604651162791,17.8217821782178,2011,12,2011.57894736842,FALSE
32,14275,853,10,23.2558139534884,9.9009900990099,2011,13,2011.63157894737,FALSE
33,14288,854,6,13.953488372093,5.94059405940594,2011,14,2011.68421052632,FALSE
34,14299,855,9,20.9302325581395,8.91089108910891,2011,15,2011.73684210526,FALSE
35,14312,856,4,9.30232558139535,3.96039603960396,2011,16,2011.78947368421,FALSE
36,14323,857,18,41.8604651162791,17.8217821782178,2011,17,2011.84210526316,FALSE
37,14335,858,14,32.5581395348837,13.8613861386139,2011,18,2011.89473684211,FALSE
38,14348,859,6,13.953488372093,5.94059405940594,2011,19,2011.94736842105,FALSE
39,14363,860,0,0,0,2012,1,2012,FALSE
40,14375,861,1,2.32558139534884,0.99009900990099,2012,2,2012.05,FALSE
41,14379,862,25,58.1395348837209,24.7524752475248,2012,3,2012.1,FALSE
42,14393,863,11,25.5813953488372,10.8910891089109,2012,4,2012.15,FALSE
43,14408,864,6,13.953488372093,5.94059405940594,2012,5,2012.2,FALSE
44,14416,865,18,41.8604651162791,17.8217821782178,2012,6,2012.25,FALSE
45,14432,866,8,18.6046511627907,7.92079207920792,2012,7,2012.3,FALSE
46,14441,867,23,53.4883720930233,22.7722772277228,2012,8,2012.35,FALSE
47,14454,868,6,13.953488372093,5.94059405940594,2012,9,2012.4,FALSE
48,14468,869,7,16.2790697674419,6.93069306930693,2012,10,2012.45,FALSE
49,14480,870,1,2.32558139534884,0.99009900990099,2012,11,2012.5,FALSE
50,14492,871,6,13.953488372093,5.94059405940594,2012,12,2012.55,FALSE
51,14503,872,14,32.5581395348837,13.8613861386139,2012,13,2012.6,FALSE
52,14515,873,10,23.2558139534884,9.9009900990099,2012,14,2012.65,FALSE
53,14532,874,0,0,0,2012,15,2012.7,FALSE
54,14543,875,0,0,0,2012,16,2012.75,FALSE
55,14554,876,0,0,0,2012,17,2012.8,FALSE
56,14568,877,0,0,0,2012,18,2012.85,FALSE
57,14580,878,0,0,0,2012,19,2012.9,FALSE
58,14588,879,6,13.953488372093,5.94059405940594,2012,20,2012.95,FALSE
59,14599,880,10,23.2558139534884,9.9009900990099,2013,1,2013,FALSE
60,14608,881,27,62.7906976744186,26.7326732673267,2013,2,2013.05263157895,FALSE
61,14620,882,15,34.8837209302326,14.8514851485149,2013,3,2013.10526315789,FALSE
62,14632,883,12,27.906976744186,11.8811881188119,2013,4,2013.15789473684,FALSE
63,14643,884,8,18.6046511627907,7.92079207920792,2013,5,2013.21052631579,FALSE
64,14651,885,37,86.046511627907,36.6336633663366,2013,6,2013.26315789474,FALSE
65,14664,886,25,58.1395348837209,24.7524752475248,2013,7,2013.31578947368,FALSE
